"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio"
NA,"Onalaska High School","Onalaska School District, WA","C","241","18:1"
NA,"Quilcene School","Quilcene School District, WA","C","202","12:1"
NA,"Academy of Construction & Engineering","Marysville School District, WA","C","325","20:1"
NA,"Warden High School","Warden School District, WA","C","322","24:1"
NA,"Yakima Online School","Yakima School District, WA","C","123","61:1"
NA,"Prescott Junior/Senior High School","Prescott School District, WA","C","145","15:1"
NA,"Othello High School","Othello School District, WA","C","1048","19:1"
NA,"Sprague High School","Sprague School District, WA","C","29","5:1"
NA,"Orting High School","Orting School District, WA","C","740","22:1"
NA,"Shelton High School","Shelton School District, WA","C","1064","20:1"
NA,"Elma High School","Elma School District, WA","C","547","20:1"
NA,"Davis High School","Yakima School District, WA","C","2099","21:1"
NA,"Sunnyside High School","Sunnyside School District, WA","C","1858","22:1"
NA,"Insight School of Washington","Quillayute Valley School District, WA","C","1910","40:1"
NA,"Oakville High School","Oakville School District, WA","C","106","14:1"
NA,"Wahluke High School","Wahluke School District, WA","C","557","17:1"
NA,"Riverside High School","Riverside School District, WA","C","464","18:1"
NA,"Naches Valley High School","Naches Valley School District, WA","C","475","20:1"
NA,"Challenger High School","Bethel School District, WA","C","317","22:1"
NA,"Bethel High School","Bethel School District, WA","C","1629","23:1"
NA,"Tekoa High School","Tekoa School District, WA","C","89","10:1"
NA,"Wellpinit High School","Wellpinit School District, WA","C","84","7:1"
NA,"Soap Lake Middle/High School","Soap Lake School District, WA","C","219","16:1"
NA,"Pasco Senior High School","Pasco School District, WA","C","1989","19:1"
NA,"Concrete High School","Concrete School District, WA","C","246","17:1"
NA,"Three Rivers HomeLink","Richland School District, WA","C","475","48:1"
NA,"Sequoia High School","Everett School District, WA","C","246","12:1"
NA,"Neah Bay Junior/Senior High School","Cape Flattery School District, WA","C-","173","11:1"
NA,"Quincy High School","Quincy School District, WA","C-","833","20:1"
NA,"Marysville Arts & Technology High School","Marysville School District, WA","C-","322","20:1"
NA,"Castle Rock High School","Castle Rock School District, WA","C-","387","19:1"
NA,"Choice Alternative School","Shelton School District, WA","C-","207","18:1"
NA,"Toppenish High School","Toppenish School District, WA","C-","891","21:1"
NA,"Brewster High School","Brewster School District, WA","C-","247","15:1"
NA,"Sultan Senior High School","Sultan School District, WA","C-","550","21:1"
NA,"ACES High School","Mukilteo School District, WA","C-","199","17:1"
NA,"Mary M. Knight High School","Mary M. Knight School District, WA","C-","98","10:1"
NA,"Cusick Junior/Senior High School","Cusick School District, WA","C-","150","12:1"
NA,"Lewis & Clark High School","Vancouver School District, WA","C-","107","17:1"
NA,"Mabton Junior/Senior High School","Mabton School District, WA","C-","407","17:1"
NA,"Crossroads High School","Granite Falls School District, WA","C-","168","17:1"
NA,"Yelm Extension School","Yelm School District, WA","C-","125","22:1"
NA,"Grandview High School","Grandview School District, WA","D+","836","23:1"
NA,"Granger High School","Granger School District, WA","D+","431","19:1"
NA,"Compass High School","Grandview School District, WA","D+","100","16:1"
NA,"Stanton Academy","Yakima School District, WA","D+","383","20:1"
NA,"State Street High School","Sedro-Woolley School District, WA","D+","271","31:1"
NA,"Summit View High School","Battle Ground School District, WA","D+","409","31:1"
NA,"New Horizons High School","Pasco School District, WA","D+","267","20:1"
NA,"Cedarcrest Junior High School","Bethel School District, WA","NG","627","19:1"
NA,"Bryant Center","Spokane School District, WA","NG","619","40:1"
NA,"Iq Academy Washington","Evergreen Public Schools, WA","NG","610","35:1"
NA,"Centralia Middle School","Centralia School District, WA","NG","540","19:1"
NA,"Oasis K-12","Orcas Island School District, WA","NG","472","28:1"
NA,"Columbia Virtual Academy","Valley School District, WA","NG","463","37:1"
NA,"iGrad","Kent School District, WA","NG","456","118:1"
NA,"Northwest Allprep","Toppenish School District, WA","NG","454","70:1"
NA,"Washington Academy of Arts & Technology","East Valley School District (Spokane), WA","NG","394","45:1"
NA,"Mead Education Partnership Program","Mead School District, WA","NG","392","35:1"
NA,"West Valley High School Freshman Campus","West Valley School District (Yakima), WA","NG","388","21:1"
NA,"Spokane Area Professional-Technical Skills Center","Spokane School District, WA","NG","383","22:1"
NA,"Meridian Parent Partnership Program","Meridian School District, WA","NG","348","30:1"
NA,"Bellevue Big Picture School","Bellevue School District, WA","NG","343","14:1"
NA,"GRAVITY High School","Tumwater, WA","NG","326","—"
NA,"Skagit Family Learning Center","Mount Vernon School District, WA","NG","321","86:1"
NA,"Contract Based Education (CBE) Alternative Programs","West Valley School District (Spokane), WA","NG","318","26:1"
NA,"Libby Center","Spokane School District, WA","NG","314","17:1"
NA,"Secondary Learning Center","Renton School District, WA","NG","311","18:1"
NA,"Edmonds Career Access Program","Edmonds School District, WA","NG","305","—"
NA,"Shoreline-Monroe High School","Monroe School District, WA","NG","298","—"
NA,"Scriber Lake High School","Edmonds School District, WA","NG","287","22:1"
NA,"Home Connection Parent Partnership Program","Oak Harbor School District, WA","NG","283","66:1"
NA,"Kennewick Mid-Columbia Parent Partnership","Kennewick School District, WA","NG","282","39:1"
NA,"Bates Technical High School","Tacoma, WA","NG","268","32:1"
NA,"Seattle World School","Seattle Public Schools, WA","NG","250","13:1"
NA,"Westside High School","Wenatchee School District, WA","NG","244","19:1"
NA,"Legacy High School","Evergreen Public Schools, WA","NG","235","29:1"
NA,"Youth Re-Engagement Program","Monroe School District, WA","NG","233","—"
